"filename", "language", "TypeScript", "XML", "Vue", "SCSS", "JSON", "Markdown", "JavaScript", "JSON with Comments", "HTML", "YAML", "comment", "blank", "total"
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/screen/components/counter/index.vue", "Vue", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/screen/components/line/index.vue", "Vue", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 6, 113
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/screen/components/map/china.json", "JSON", 0, 0, 0, 0, 103310, 0, 0, 0, 0, 0, 0, 0, 103310
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/screen/components/map/index.vue", "Vue", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 6, 114
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/screen/components/rank/index.vue", "Vue", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 1, 5, 170
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/screen/components/sex/index.vue", "Vue", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 13, 143
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/screen/components/top/index.vue", "Vue", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 13, 110
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/screen/components/tourist/index.vue", "Vue", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 1, 15, 127
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/screen/components/year/index.vue", "Vue", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 6, 98
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/screen/index.vue", "Vue", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 2, 20, 142
"/Users/trumpael/Documents/Learning/LearnVue/project/src/vite-env.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 8
"/Users/trumpael/Documents/Learning/LearnVue/project/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 2, 3, 30
"/Users/trumpael/Documents/Learning/LearnVue/project/tsconfig.node.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/trumpael/Documents/Learning/LearnVue/project/vite.config.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 53
"/Users/trumpael/Documents/Learning/LearnVue/project/接口文档.md", "Markdown", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"/Users/trumpael/Documents/Learning/LearnVue/project/菜单权限与按钮权限说明.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"Total", "-", 1129, 186, 3844, 181, 103376, 34, 10, 25, 13, 4102, 408, 939, 114247
